Date,Open,High,Low,Close,Volume,MarketCap
2018-10-12,9.28,9.66,9.24,9.53,26099400,1119110169
2018-10-13,9.49,9.63,9.48,9.54,24253100,1120451371
2018-10-14,9.55,9.64,9.47,9.5,22974000,1115328494
2018-10-15,9.48,10.44,9.42,10.32,52331400,1211556837
2018-10-16,10.32,10.33,9.92,10.01,30719200,1175713142
2018-10-17,10.03,10.03,9.82,9.9,35325400,1295497891
2018-10-18,9.93,9.96,9.64,9.72,29790800,1270922008
2018-10-19,9.72,9.79,9.63,9.77,24658400,1277484210
2018-10-20,9.76,9.79,9.68,9.75,23972200,1275898922
2018-10-21,9.76,9.87,9.68,9.74,25790200,1274416966
2018-10-22,9.72,9.84,9.65,9.73,27599800,1272265317
2018-10-23,9.7,9.86,9.68,9.8,30852200,1282236149
2018-10-24,9.78,9.82,9.71,9.75,26652600,1274681180
2018-10-25,9.73,9.75,9.64,9.69,25207400,1267743585
2018-10-26,9.68,9.73,9.62,9.7,24495800,1269103898
2018-10-27,9.7,9.73,9.63,9.65,22943000,1262795447
2018-10-28,9.67,9.71,9.59,9.67,24760500,1264409510
2018-10-29,9.64,9.68,9.34,9.4,24583200,1229856255
2018-10-30,9.4,9.47,9.35,9.39,24305700,1227818402
2018-10-31,9.4,9.42,9.31,9.36,21398200,1224930353
2018-11-01,9.37,9.63,9.34,9.55,19690100,1249031435
2018-11-02,9.53,9.61,9.48,9.57,21304800,1252152306
2018-11-03,9.59,9.63,9.49,9.53,19663500,1246544940
2018-11-04,9.53,9.74,9.49,9.63,24079700,1259275637
2018-11-05,9.59,9.77,9.58,9.67,21103300,1265157682
2018-11-06,9.71,9.78,9.62,9.78,24810200,1278317401
2018-11-07,9.8,9.88,9.77,9.82,23433700,1284047719
2018-11-08,9.81,9.83,9.62,9.65,21877100,1262337649
2018-11-09,9.64,9.67,9.49,9.55,18859800,1249682815
2018-11-10,9.55,9.64,9.51,9.56,18550600,1250117069
2018-11-11,9.57,9.58,9.35,9.47,18889600,1238146316
2018-11-12,9.49,9.52,9.27,9.36,19452700,1224441164
2018-11-13,9.37,9.47,9.19,9.25,17068400,1209685693
2018-11-14,9.22,9.23,8.14,8.41,19518100,1099631149
2018-11-15,8.41,8.46,7.75,8.18,19131700,1070574081
2018-11-16,8.18,8.21,7.8,7.88,18869500,1031284583
2018-11-17,7.9,7.9,7.61,7.72,16973900,1009535273
2018-11-18,7.74,8.03,7.73,8,13784000,1046363128
2018-11-19,8,8.01,6.6,6.63,21567100,867472829
2018-11-20,6.61,6.76,5.55,5.76,25989200,753431522
2018-11-21,5.8,6.2,5.57,6.2,14208800,810831494
2018-11-22,6.21,6.23,5.76,5.76,9885300,752821997
2018-11-23,5.74,5.77,5.42,5.56,9943370,726908037
2018-11-24,5.56,5.67,4.72,5.12,11938900,669075120
2018-11-25,5.09,5.28,4.44,5.18,12236300,677616315
2018-11-26,5.18,5.26,4.67,4.93,10132300,644376285
2018-11-27,4.91,4.95,4.68,4.91,9050190,642623575
2018-11-28,4.9,5.47,4.9,5.34,15392800,698070712
